epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,73.0737,0.31429,0.26257,0.82209,0.99753,1,0.995,0.98157,0.22494,0.17938,0.76471,0.000220857,0.000220857,0.000220857
74,74.1262,0.30374,0.25212,0.82586,0.99794,1,0.995,0.97926,0.2279,0.17626,0.76455,0.000213244,0.000213244,0.000213244
75,75.0341,0.30222,0.25744,0.81586,0.99732,1,0.995,0.9803,0.23365,0.17637,0.76513,0.000205631,0.000205631,0.000205631
76,75.9567,0.32566,0.26881,0.83853,0.99725,1,0.995,0.98235,0.21719,0.1762,0.76305,0.000198018,0.000198018,0.000198018
77,76.8653,0.30905,0.25589,0.82464,0.99738,1,0.995,0.98317,0.21311,0.17524,0.7627,0.000190404,0.000190404,0.000190404
78,77.871,0.29349,0.25762,0.83291,0.99693,1,0.995,0.98374,0.21409,0.17221,0.76307,0.000182791,0.000182791,0.000182791
79,78.8337,0.29925,0.24903,0.81996,0.99523,1,0.995,0.98415,0.21653,0.17265,0.7635,0.000175178,0.000175178,0.000175178
80,79.7999,0.29574,0.24334,0.82021,0.99419,1,0.995,0.98409,0.22286,0.17381,0.76455,0.000167565,0.000167565,0.000167565
81,80.743,0.30441,0.24219,0.82566,0.99408,1,0.995,0.98395,0.2215,0.17324,0.7642,0.000159952,0.000159952,0.000159952
82,81.6656,0.29291,0.23779,0.8202,0.99394,1,0.995,0.98443,0.22312,0.17729,0.76381,0.000152339,0.000152339,0.000152339
83,82.6604,0.29811,0.24077,0.82673,0.99495,1,0.995,0.98424,0.21666,0.17164,0.7635,0.000144726,0.000144726,0.000144726
84,83.6431,0.27776,0.23968,0.81565,0.99593,1,0.995,0.98386,0.20995,0.1671,0.76335,0.000137113,0.000137113,0.000137113
85,84.7041,0.28208,0.23606,0.81691,0.9964,1,0.995,0.98364,0.20647,0.16673,0.763,0.0001295,0.0001295,0.0001295
86,85.6829,0.29134,0.23804,0.82718,0.99742,1,0.995,0.9833,0.20394,0.16386,0.76256,0.000121887,0.000121887,0.000121887
87,86.6236,0.28556,0.23525,0.81177,0.99741,1,0.995,0.98337,0.20979,0.1644,0.76312,0.000114273,0.000114273,0.000114273
88,87.551,0.2929,0.24085,0.82951,0.99729,1,0.995,0.98501,0.20829,0.16274,0.76236,0.00010666,0.00010666,0.00010666
89,88.5856,0.29858,0.23858,0.81416,0.99726,1,0.995,0.98396,0.20857,0.16029,0.76205,9.90472e-05,9.90472e-05,9.90472e-05
90,89.5227,0.28692,0.23853,0.81533,0.99695,1,0.995,0.98516,0.2048,0.15561,0.76181,9.14341e-05,9.14341e-05,9.14341e-05
91,91.1694,0.28171,0.21925,0.80455,0.99633,1,0.995,0.98582,0.20388,0.1565,0.76139,8.3821e-05,8.3821e-05,8.3821e-05
92,92.2048,0.26752,0.2215,0.7902,0.99554,1,0.995,0.98442,0.21788,0.16279,0.76208,7.62079e-05,7.62079e-05,7.62079e-05
93,93.1511,0.26101,0.21948,0.78955,0.99521,1,0.995,0.984,0.22036,0.16623,0.76231,6.85948e-05,6.85948e-05,6.85948e-05
94,94.1266,0.26028,0.21422,0.7986,0.99465,1,0.995,0.98402,0.2144,0.16613,0.762,6.09817e-05,6.09817e-05,6.09817e-05
95,95.16,0.27535,0.22471,0.79787,0.99437,1,0.995,0.98378,0.20601,0.16219,0.76109,5.33686e-05,5.33686e-05,5.33686e-05
96,96.1478,0.25023,0.20647,0.79431,0.99419,1,0.995,0.98382,0.20389,0.15942,0.76097,4.57555e-05,4.57555e-05,4.57555e-05
97,97.0586,0.2649,0.21393,0.80054,0.99407,1,0.995,0.98321,0.2043,0.15896,0.76115,3.81424e-05,3.81424e-05,3.81424e-05
98,98.2856,0.25344,0.20522,0.78684,0.99449,1,0.995,0.98359,0.20417,0.15681,0.76101,3.05293e-05,3.05293e-05,3.05293e-05
99,99.2454,0.26366,0.21178,0.78263,0.99487,1,0.995,0.98392,0.20299,0.15608,0.76084,2.29162e-05,2.29162e-05,2.29162e-05
100,100.199,0.25447,0.20854,0.7974,0.99496,1,0.995,0.98261,0.20315,0.15662,0.76071,1.53031e-05,1.53031e-05,1.53031e-05
